id,name,symbol,slug,date_added,price
1,Bitcoin,BTC,bitcoin,2013-04-28T00:00:00.000Z,11689.5797746
1027,Ethereum,ETH,ethereum,2015-08-07T00:00:00.000Z,394.557772803
52,XRP,XRP,xrp,2013-08-04T00:00:00.000Z,0.29416836654
825,Tether,USDT,tether,2015-02-25T00:00:00.000Z,1.00254377107
1831,Bitcoin Cash,BCH,bitcoin-cash,2017-07-23T00:00:00.000Z,306.460348398
1975,Chainlink,LINK,chainlink,2017-09-20T00:00:00.000Z,12.6621885337
3602,Bitcoin SV,BSV,bitcoin-sv,2018-11-09T00:00:00.000Z,231.03499729
2010,Cardano,ADA,cardano,2017-10-01T00:00:00.000Z,0.148396589935
2,Litecoin,LTC,litecoin,2013-04-28T00:00:00.000Z,57.7975463932
1839,Binance Coin,BNB,binance-coin,2017-07-25T00:00:00.000Z,22.6425577561
3635,Crypto.com Coin,CRO,crypto-com-coin,2018-12-14T00:00:00.000Z,0.166445647666
1765,EOS,EOS,eos,2017-07-01T00:00:00.000Z,3.05097924556
2011,Tezos,XTZ,tezos,2017-10-06T00:00:00.000Z,3.38500361149
512,Stellar,XLM,stellar,2014-08-05T00:00:00.000Z,0.103769070629
328,Monero,XMR,monero,2014-05-21T00:00:00.000Z,93.4456939818
1958,TRON,TRX,tron,2017-09-13T00:00:00.000Z,0.0203838403516
3957,UNUS SED LEO,LEO,unus-sed-leo,2019-05-21T00:00:00.000Z,1.28506313802
3077,VeChain,VET,vechain,2017-08-22T00:00:00.000Z,0.020672780808
3408,USD Coin,USDC,usd-coin,2018-10-08T00:00:00.000Z,1.00057154396
2502,Huobi Token,HT,huobi-token,2018-02-03T00:00:00.000Z,4.72314316993
131,Dash,DASH,dash,2014-02-14T00:00:00.000Z,97.6440351839
1720,IOTA,MIOTA,iota,2017-06-13T00:00:00.000Z,0.334128349436
1376,Neo,NEO,neo,2016-09-08T00:00:00.000Z,12.9751639412
1437,Zcash,ZEC,zcash,2016-10-29T00:00:00.000Z,92.9049264959
3794,Cosmos,ATOM,cosmos,2019-03-14T00:00:00.000Z,4.43892322161
1321,Ethereum Classic,ETC,ethereum-classic,2016-07-24T00:00:00.000Z,6.92736507973
1518,Maker,MKR,maker,2017-01-29T00:00:00.000Z,587.334524053
873,NEM,XEM,nem,2015-04-01T00:00:00.000Z,0.0633574499765
3662,HedgeTrade,HEDG,hedgetrade,2019-01-03T00:00:00.000Z,1.95745300882
2566,Ontology,ONT,ontology,2018-03-08T00:00:00.000Z,0.719591748842
2239,Aave,LEND,aave,2017-11-30T00:00:00.000Z,0.385634820294
74,Dogecoin,DOGE,dogecoin,2013-12-15T00:00:00.000Z,0.00347865045009
5692,Compound,COMP,compound,2020-06-16T00:00:00.000Z,153.621238437
1697,Basic Attention Token,BAT,basic-attention-token,2017-06-01T00:00:00.000Z,0.263315615732
109,DigiByte,DGB,digibyte,2014-02-06T00:00:00.000Z,0.0291375712028
2586,Synthetix Network Token,SNX,synthetix-network-token,2018-03-14T00:00:00.000Z,4.24971516406
4943,Dai,DAI,multi-collateral-dai,2019-11-22T00:00:00.000Z,1.01569851469
3897,OKB,OKB,okb,2019-04-30T00:00:00.000Z,5.93373485419
4030,Algorand,ALGO,algorand,2019-06-20T00:00:00.000Z,0.458965136703
1982,Kyber Network,KNC,kyber-network,2017-09-24T00:00:00.000Z,1.68374063205
4195,FTX Token,FTT,ftx-token,2019-07-31T00:00:00.000Z,3.47656472022
4086,Elrond,ERD,elrond,2019-07-04T00:00:00.000Z,0.02342814428
1896,0x,ZRX,0x,2017-08-16T00:00:00.000Z,0.430970651553
3695,Hyperion,HYN,hyperion,2019-01-14T00:00:00.000Z,0.922907348376
3718,BitTorrent,BTT,bittorrent,2019-01-31T00:00:00.000Z,0.000426424979347
2416,THETA,THETA,theta,2018-01-17T00:00:00.000Z,0.317438500433
2469,Zilliqa,ZIL,zilliqa,2018-01-25T00:00:00.000Z,0.0255612159079
1684,Qtum,QTUM,qtum,2017-05-24T00:00:00.000Z,2.72252367943
3330,Paxos Standard,PAX,paxos-standard,2018-09-27T00:00:00.000Z,1.00036443548
1104,Augur,REP,augur,2015-10-27T00:00:00.000Z,21.0688892764
4679,Band Protocol,BAND,band-protocol,2019-09-18T00:00:00.000Z,11.2442181778
2099,ICON,ICX,icon,2017-10-27T00:00:00.000Z,0.406155129406
1808,OMG Network,OMG,omg,2017-07-14T00:00:00.000Z,1.61080065478
4642,Hedera Hashgraph,HBAR,hedera-hashgraph,2019-09-17T00:00:00.000Z,0.0446380587017
2563,TrueUSD,TUSD,trueusd,2018-03-06T00:00:00.000Z,1.0027406861
1168,Decred,DCR,decred,2016-02-10T00:00:00.000Z,16.4130045473
1214,Lisk,LSK,lisk,2016-04-06T00:00:00.000Z,1.53534720663
1274,Waves,WAVES,waves,2016-06-02T00:00:00.000Z,1.84875396566
2539,Ren,REN,ren,2018-02-21T00:00:00.000Z,0.217809598108
2083,Bitcoin Gold,BTG,bitcoin-gold,2017-10-23T00:00:00.000Z,10.3919604537
3812,Flexacoin,FXC,flexacoin,2019-03-22T00:00:00.000Z,0.00635325903697
4687,Binance USD,BUSD,binance-usd,2019-09-20T00:00:00.000Z,1.00072027398
1727,Bancor,BNT,bancor,2017-06-18T00:00:00.000Z,2.54565198401
4056,Ampleforth,AMPL,ampleforth,2019-06-28T00:00:00.000Z,0.592651439446
2130,Enjin Coin,ENJ,enjin-coin,2017-11-01T00:00:00.000Z,0.209253664028
1966,Decentraland,MANA,decentraland,2017-09-17T00:00:00.000Z,0.110810160946
2222,Bitcoin Diamond,BCD,bitcoin-diamond,2017-11-24T00:00:00.000Z,0.827845903129
2577,Ravencoin,RVN,ravencoin,2018-03-10T00:00:00.000Z,0.0223620226895
1934,Loopring,LRC,loopring,2017-08-30T00:00:00.000Z,0.134593141619
4172,Terra,LUNA,terra-luna,2019-07-26T00:00:00.000Z,0.386743819624
3911,Ocean Protocol,OCEAN,ocean-protocol,2019-05-06T00:00:00.000Z,0.420571735989
